cycle,pc,cta_id,cluster_id,warp_id,tid
5005,0,1,1,1,ffffffff
5006,0,1,1,2,ffffffff
5007,0,1,1,3,ffffffff
5008,0,1,1,6,ffffffff
5009,0,1,1,7,ffffffff
5010,0,1,1,4,ffffffff
5011,0,1,1,5,ffffffff
5012,0,31,1,8,ffffffff
5013,0,31,1,9,ffffffff
5014,0,31,1,10,ffffffff
5015,0,31,1,15,ffffffff
5016,8,1,1,1,ffffffff
5017,8,1,1,2,ffffffff
5018,8,1,1,3,ffffffff
5019,0,1,1,0,ffffffff
5020,8,1,1,5,ffffffff
5021,8,1,1,6,ffffffff
5022,8,1,1,7,ffffffff
5023,8,1,1,4,ffffffff
5024,8,31,1,9,ffffffff
5025,8,31,1,10,ffffffff
5026,8,31,1,11,ffffffff
5027,8,31,1,8,ffffffff
5028,8,31,1,13,ffffffff
5029,8,31,1,14,ffffffff
5030,8,31,1,15,ffffffff
5031,8,31,1,12,ffffffff
5032,10,1,1,1,ffffffff
5033,10,1,1,2,ffffffff
5034,10,1,1,3,ffffffff
5035,8,1,1,0,ffffffff
5036,10,1,1,5,ffffffff
5037,10,1,1,6,ffffffff
5038,10,1,1,7,ffffffff
5039,10,1,1,4,ffffffff
5040,10,31,1,9,ffffffff
5041,10,31,1,10,ffffffff
5042,10,31,1,11,ffffffff
5043,18,1,1,1,ffffffff
5043,10,31,1,8,ffffffff
5044,18,1,1,2,ffffffff
5044,10,31,1,13,ffffffff
5045,18,1,1,3,ffffffff
5045,0,31,1,13,ffffffff
5046,10,31,1,14,ffffffff
5047,0,31,1,14,ffffffff
5048,10,31,1,15,ffffffff
5049,0,31,1,11,ffffffff
5050,10,31,1,12,ffffffff
5051,10,1,1,0,ffffffff
5052,0,31,1,12,ffffffff
5053,18,1,1,4,ffffffff
5054,20,1,1,1,ffffffff
5054,20,1,1,2,ffffffff
5054,20,1,1,3,ffffffff
5055,20,1,1,4,ffffffff
5055,18,1,1,5,ffffffff
5055,18,1,1,6,ffffffff
5055,18,1,1,7,ffffffff
5056,18,31,1,9,ffffffff
5056,18,31,1,10,ffffffff
5056,18,31,1,11,ffffffff
5056,18,31,1,8,ffffffff
5057,18,31,1,14,ffffffff
5057,18,31,1,15,ffffffff
5057,18,31,1,12,ffffffff
5057,18,31,1,13,ffffffff
5058,18,1,1,0,ffffffff
5060,20,1,1,5,ffffffff
5060,20,1,1,6,ffffffff
5060,20,1,1,7,ffffffff
5061,28,1,1,3,ffffffff
5061,28,1,1,1,ffffffff
5061,28,1,1,2,ffffffff
5061,20,31,1,8,ffffffff
5062,28,1,1,4,ffffffff
5062,20,31,1,9,ffffffff
5062,20,31,1,10,ffffffff
5062,20,31,1,11,ffffffff
5063,20,31,1,12,ffffffff
5066,28,1,1,7,ffffffff
5066,28,1,1,5,ffffffff
5066,28,1,1,6,ffffffff
5067,28,31,1,8,ffffffff
5068,28,31,1,9,ffffffff
5068,28,31,1,10,ffffffff
5068,28,31,1,11,ffffffff
5069,28,31,1,12,ffffffff
5070,28,31,1,14,ffffffff
5070,28,31,1,15,ffffffff
5070,28,31,1,13,ffffffff
5071,20,31,1,14,ffffffff
5071,20,31,1,15,ffffffff
5071,20,31,1,13,ffffffff
5071,28,1,1,0,ffffffff
5072,20,1,1,0,ffffffff
5072,30,1,1,1,ffffffff
5072,30,1,1,2,ffffffff
5072,30,1,1,3,ffffffff
5073,30,1,1,4,ffffffff
5075,30,1,1,5,ffffffff
5075,30,1,1,6,ffffffff
5075,30,1,1,7,ffffffff
5076,30,31,1,8,ffffffff
5077,30,31,1,11,ffffffff
5077,30,31,1,9,ffffffff
5077,30,31,1,10,ffffffff
5078,30,31,1,12,ffffffff
5079,40,1,1,1,ffffffff
5079,40,1,1,2,ffffffff
5079,40,1,1,3,ffffffff
5080,30,31,1,14,ffffffff
5080,30,31,1,15,ffffffff
5080,30,31,1,13,ffffffff
5080,40,1,1,4,ffffffff
5081,30,1,1,0,ffffffff
5082,40,1,1,7,ffffffff
5082,40,1,1,5,ffffffff
5082,40,1,1,6,ffffffff
5083,40,31,1,8,ffffffff
5084,40,31,1,9,ffffffff
5084,40,31,1,10,ffffffff
5084,40,31,1,11,ffffffff
5086,40,31,1,12,ffffffff
5088,48,1,1,2,ffffffff
5088,48,1,1,3,ffffffff
5092,40,31,1,14,ffffffff
5092,40,31,1,15,ffffffff
5095,48,1,1,1,ffffffff
5097,48,1,1,4,ffffffff
5105,48,1,1,6,ffffffff
5105,48,1,1,7,ffffffff
5105,48,1,1,5,ffffffff
5105,48,31,1,8,ffffffff
5106,40,31,1,13,ffffffff
5106,40,1,1,0,ffffffff
5107,48,31,1,12,ffffffff
5107,48,31,1,9,ffffffff
5107,48,31,1,10,ffffffff
5107,48,31,1,11,ffffffff
5109,48,31,1,14,ffffffff
5109,48,31,1,15,ffffffff
5115,48,31,1,13,ffffffff
5115,48,1,1,0,ffffffff
5326,38,1,1,3,ffffffff
5327,38,31,1,11,ffffffff
5344,38,1,1,1,ffffffff
5345,38,31,1,9,ffffffff
5450,38,1,1,2,ffffffff
5451,38,31,1,10,ffffffff
5460,38,1,1,4,ffffffff
5461,38,31,1,12,ffffffff
5464,38,1,1,6,ffffffff
5465,38,31,1,14,ffffffff
5472,38,1,1,7,ffffffff
5473,38,31,1,15,ffffffff
5478,38,1,1,5,ffffffff
5479,38,31,1,13,ffffffff
5480,38,31,1,8,ffffffff
5481,38,1,1,0,ffffffff
5502,50,1,1,3,ffffffff
5503,50,31,1,11,ffffffff
