cycle,pc,cta_id,cluster_id,warp_id,tid
5005,0,4,4,1,ffffffff
5006,0,4,4,2,ffffffff
5007,0,4,4,3,ffffffff
5008,0,4,4,6,ffffffff
5009,0,4,4,7,ffffffff
5010,0,4,4,4,ffffffff
5011,0,4,4,5,ffffffff
5012,18,4,4,2,ffffffff
5012,18,4,4,3,ffffffff
5012,0,4,4,0,ffffffff
5013,8,4,4,1,ffffffff
5014,8,4,4,2,ffffffff
5015,8,4,4,7,ffffffff
5016,10,4,4,1,ffffffff
5017,10,4,4,2,ffffffff
5018,10,4,4,3,ffffffff
5019,18,4,4,1,ffffffff
5019,8,4,4,0,ffffffff
5020,18,4,4,6,ffffffff
5020,10,4,4,5,ffffffff
5021,18,4,4,7,ffffffff
5021,8,4,4,5,ffffffff
5022,10,4,4,6,ffffffff
5023,8,4,4,6,ffffffff
5024,10,4,4,7,ffffffff
5025,8,4,4,3,ffffffff
5026,10,4,4,4,ffffffff
5027,10,4,4,0,ffffffff
5028,8,4,4,4,ffffffff
5029,18,4,4,4,ffffffff
5030,20,4,4,1,ffffffff
5030,20,4,4,2,ffffffff
5030,20,4,4,7,ffffffff
5030,18,4,4,0,ffffffff
5031,18,4,4,5,ffffffff
5031,20,4,4,6,ffffffff
5031,20,4,4,3,ffffffff
5032,20,4,4,0,ffffffff
5034,20,4,4,5,ffffffff
5034,20,4,4,4,ffffffff
5035,28,4,4,1,ffffffff
5035,28,4,4,2,ffffffff
5035,28,4,4,7,ffffffff
5037,28,4,4,6,ffffffff
5037,28,4,4,3,ffffffff
5038,28,4,4,4,ffffffff
5040,28,4,4,0,ffffffff
5040,28,4,4,5,ffffffff
5044,30,4,4,2,ffffffff
5044,30,4,4,7,ffffffff
5044,30,4,4,1,ffffffff
5046,30,4,4,6,ffffffff
5046,30,4,4,3,ffffffff
5047,30,4,4,4,ffffffff
5049,30,4,4,0,ffffffff
5049,30,4,4,5,ffffffff
5051,40,4,4,1,ffffffff
5051,40,4,4,2,ffffffff
5051,40,4,4,7,ffffffff
5053,40,4,4,6,ffffffff
5053,40,4,4,3,ffffffff
5054,40,4,4,4,ffffffff
5056,40,4,4,5,ffffffff
5056,40,4,4,0,ffffffff
5060,48,4,4,2,ffffffff
5060,48,4,4,7,ffffffff
5060,48,4,4,1,ffffffff
5062,48,4,4,6,ffffffff
5062,48,4,4,3,ffffffff
5063,48,4,4,4,ffffffff
5065,48,4,4,0,ffffffff
5065,48,4,4,5,ffffffff
5463,38,4,4,7,ffffffff
5644,38,4,4,1,ffffffff
5875,38,4,4,2,ffffffff
5900,38,4,4,6,ffffffff
5902,38,4,4,0,ffffffff
5903,38,4,4,3,ffffffff
5904,38,4,4,4,ffffffff
5906,38,4,4,5,ffffffff
5908,50,4,4,7,ffffffff
5910,50,4,4,1,ffffffff
5929,50,4,4,6,ffffffff
5932,50,4,4,2,ffffffff
5933,50,4,4,3,ffffffff
5935,50,4,4,4,ffffffff
5937,50,4,4,5,ffffffff
5938,50,4,4,0,ffffffff
5977,58,4,4,7,ffffffff
5979,58,4,4,1,ffffffff
5983,60,4,4,7,ffffffff
5985,60,4,4,1,ffffffff
5989,68,4,4,7,ffffffff
5990,70,4,4,7,ffffffff
5991,68,4,4,1,ffffffff
5992,70,4,4,1,ffffffff
5996,78,4,4,7,ffffffff
5998,58,4,4,6,ffffffff
5998,78,4,4,1,ffffffff
6002,80,4,4,7,ffffffff
6004,58,4,4,4,ffffffff
6004,80,4,4,1,ffffffff
6004,60,4,4,6,ffffffff
6007,88,4,4,7,ffffffff
6009,88,4,4,1,ffffffff
6010,60,4,4,4,ffffffff
6010,68,4,4,6,ffffffff
6010,a0,4,4,7,ffffffff
6011,70,4,4,6,ffffffff
6011,a8,4,4,7,ffffffff
6012,a0,4,4,1,ffffffff
6013,a8,4,4,1,ffffffff
6016,68,4,4,4,ffffffff
6017,78,4,4,6,ffffffff
6017,70,4,4,4,ffffffff
6023,78,4,4,4,ffffffff
6023,80,4,4,6,ffffffff
6028,88,4,4,6,ffffffff
6029,80,4,4,4,ffffffff
6031,a0,4,4,6,ffffffff
6032,a8,4,4,6,ffffffff
6034,88,4,4,4,ffffffff
6037,a0,4,4,4,ffffffff
6038,a8,4,4,4,ffffffff
6041,58,4,4,3,ffffffff
6043,58,4,4,5,ffffffff
6047,60,4,4,3,ffffffff
6049,60,4,4,5,ffffffff
6053,68,4,4,3,ffffffff
6054,70,4,4,3,ffffffff
6055,68,4,4,5,ffffffff
6056,70,4,4,5,ffffffff
6060,78,4,4,3,ffffffff
6062,58,4,4,2,ffffffff
6062,78,4,4,5,ffffffff
6066,80,4,4,3,ffffffff
6068,58,4,4,0,ffffffff
6068,80,4,4,5,ffffffff
6068,60,4,4,2,ffffffff
6071,88,4,4,3,ffffffff
6073,88,4,4,5,ffffffff
6074,60,4,4,0,ffffffff
6074,68,4,4,2,ffffffff
6074,a0,4,4,3,ffffffff
6075,70,4,4,2,ffffffff
6075,a8,4,4,3,ffffffff
6076,a0,4,4,5,ffffffff
6077,a8,4,4,5,ffffffff
6080,68,4,4,0,ffffffff
6081,78,4,4,2,ffffffff
6081,70,4,4,0,ffffffff
6087,78,4,4,0,ffffffff
6087,80,4,4,2,ffffffff
6092,88,4,4,2,ffffffff
6093,80,4,4,0,ffffffff
6095,a0,4,4,2,ffffffff
6096,a8,4,4,2,ffffffff
6098,88,4,4,0,ffffffff
6101,a0,4,4,0,ffffffff
6102,a8,4,4,0,ffffffff
6105,98,4,4,7,ffffffff
6107,98,4,4,1,ffffffff
6111,b8,4,4,7,ffffffff
6113,b8,4,4,1,ffffffff
6126,98,4,4,6,ffffffff
6132,98,4,4,4,ffffffff
6132,b8,4,4,6,ffffffff
6138,b8,4,4,4,ffffffff
6169,98,4,4,3,ffffffff
6171,98,4,4,5,ffffffff
6175,b8,4,4,3,ffffffff
6177,b8,4,4,5,ffffffff
6190,98,4,4,2,ffffffff
6196,98,4,4,0,ffffffff
6196,b8,4,4,2,ffffffff
6202,b8,4,4,0,ffffffff
6233,b0,4,4,7,ffffffff
6235,b0,4,4,1,ffffffff
6239,c8,4,4,7,ffffffff
6241,c8,4,4,1,ffffffff
6254,b0,4,4,6,ffffffff
6260,b0,4,4,4,ffffffff
6260,c8,4,4,6,ffffffff
6266,c8,4,4,4,ffffffff
6297,b0,4,4,3,ffffffff
6299,b0,4,4,5,ffffffff
6303,c8,4,4,3,ffffffff
6305,c8,4,4,5,ffffffff
6318,b0,4,4,2,ffffffff
6324,b0,4,4,0,ffffffff
6324,c8,4,4,2,ffffffff
6330,c8,4,4,0,ffffffff
6361,c0,4,4,7,ffffffff
6363,c0,4,4,1,ffffffff
6367,d8,4,4,7,ffffffff
6369,d8,4,4,1,ffffffff
6382,c0,4,4,6,ffffffff
6388,c0,4,4,4,ffffffff
6388,d8,4,4,6,ffffffff
6394,d8,4,4,4,ffffffff
6425,c0,4,4,3,ffffffff
6427,c0,4,4,5,ffffffff
6431,d8,4,4,3,ffffffff
6433,d8,4,4,5,ffffffff
6446,c0,4,4,2,ffffffff
6452,c0,4,4,0,ffffffff
6452,d8,4,4,2,ffffffff
6458,d8,4,4,0,ffffffff
6489,d0,4,4,7,ffffffff
6491,d0,4,4,1,ffffffff
6495,e8,4,4,7,ffffffff
6497,e8,4,4,1,ffffffff
6510,d0,4,4,6,ffffffff
6516,d0,4,4,4,ffffffff
6516,e8,4,4,6,ffffffff
6522,e8,4,4,4,ffffffff
6553,d0,4,4,3,ffffffff
6555,d0,4,4,5,ffffffff
6559,e8,4,4,3,ffffffff
6561,e8,4,4,5,ffffffff
6574,d0,4,4,2,ffffffff
6580,d0,4,4,0,ffffffff
6580,e8,4,4,2,ffffffff
6586,e8,4,4,0,ffffffff
6617,e0,4,4,7,ffffffff
6619,e0,4,4,1,ffffffff
6623,f8,4,4,7,ffffffff
6625,f8,4,4,1,ffffffff
6638,e0,4,4,6,ffffffff
6644,e0,4,4,4,ffffffff
6644,f8,4,4,6,ffffffff
6650,f8,4,4,4,ffffffff
6681,e0,4,4,3,ffffffff
6683,e0,4,4,5,ffffffff
6687,f8,4,4,3,ffffffff
6689,f8,4,4,5,ffffffff
6702,e0,4,4,2,ffffffff
6708,e0,4,4,0,ffffffff
6708,f8,4,4,2,ffffffff
6714,f8,4,4,0,ffffffff
6745,f0,4,4,7,ffffffff
6747,f0,4,4,1,ffffffff
6751,108,4,4,7,ffffffff
6753,108,4,4,1,ffffffff
6766,f0,4,4,6,ffffffff
6772,f0,4,4,4,ffffffff
6772,108,4,4,6,ffffffff
6778,108,4,4,4,ffffffff
6809,f0,4,4,3,ffffffff
6811,f0,4,4,5,ffffffff
6815,108,4,4,3,ffffffff
6817,108,4,4,5,ffffffff
6830,f0,4,4,2,ffffffff
6836,f0,4,4,0,ffffffff
6836,108,4,4,2,ffffffff
6842,108,4,4,0,ffffffff
6873,100,4,4,7,ffffffff
6875,100,4,4,1,ffffffff
6879,118,4,4,7,ffffffff
6881,118,4,4,1,ffffffff
6894,100,4,4,6,ffffffff
6900,100,4,4,4,ffffffff
6900,118,4,4,6,ffffffff
6906,118,4,4,4,ffffffff
6937,100,4,4,3,ffffffff
6939,100,4,4,5,ffffffff
6943,118,4,4,3,ffffffff
6945,118,4,4,5,ffffffff
6958,100,4,4,2,ffffffff
6964,100,4,4,0,ffffffff
6964,118,4,4,2,ffffffff
6970,118,4,4,0,ffffffff
7001,110,4,4,7,ffffffff
7003,110,4,4,1,ffffffff
7007,128,4,4,7,ffffffff
7009,128,4,4,1,ffffffff
