cycle,instruction,cta_id,cluster_id,warp_id,tid
5002, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,1,ffffffff
5002, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,2,ffffffff
5002, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,3,ffffffff
5003, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,6,ffffffff
5003, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,7,ffffffff
5003, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,4,ffffffff
5003, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,5,ffffffff
5004, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,3,ffffffff
5004, PC=0x000 (lstm.1.sm_75.ptx:42) ld.param.u64 %rd31 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_2],10,10,0,ffffffff
5004, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,1,ffffffff
5004, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,2,ffffffff
5005, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,4,ffffffff
5005, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,5,ffffffff
5005, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,6,ffffffff
5005, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,7,ffffffff
5006, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,1,ffffffff
5006, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,2,ffffffff
5006, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,3,ffffffff
5006, PC=0x008 (lstm.1.sm_75.ptx:43) ld.param.u64 %rd39 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_6],10,10,0,ffffffff
5007, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,2,ffffffff
5007, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,3,ffffffff
5007, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,1,ffffffff
5010, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,5,ffffffff
5010, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,6,ffffffff
5010, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,7,ffffffff
5010, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,4,ffffffff
5011, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,6,ffffffff
5011, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,7,ffffffff
5011, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,4,ffffffff
5014, PC=0x010 (lstm.1.sm_75.ptx:44) ld.param.u64 %rd40 [_Z11ExecuteLSTMPdS_S_S_S_S_S_S_S_S_S_S_S_S_S__param_8],10,10,0,ffffffff
5015, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,1,ffffffff
5016, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,2,ffffffff
5017, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,7,ffffffff
5025, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,0,ffffffff
5025, PC=0x018 (lstm.1.sm_75.ptx:45) mov.u32 %r1 %tid.x,10,10,5,ffffffff
5025, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,6,ffffffff
5025, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,3,ffffffff
5026, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,1,ffffffff
5026, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,2,ffffffff
5026, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,7,ffffffff
5026, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,0,ffffffff
5027, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,6,ffffffff
5027, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,3,ffffffff
5027, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,5,ffffffff
5028, PC=0x020 (lstm.1.sm_75.ptx:46) cvta.to.global.u64 %rd44 %rd39,10,10,4,ffffffff
5029, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,4,ffffffff
5030, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,0,ffffffff
5031, PC=0x028 (lstm.1.sm_75.ptx:47) mul.wide.s32 %rd45 %r1 8,10,10,5,ffffffff
5035, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,2,ffffffff
5035, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,7,ffffffff
5035, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,1,ffffffff
5037, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,6,ffffffff
5037, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,3,ffffffff
5038, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,4,ffffffff
5040, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,0,ffffffff
5040, PC=0x030 (lstm.1.sm_75.ptx:48) add.s64 %rd5 %rd44 %rd45,10,10,5,ffffffff
5044, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,7,ffffffff
5044, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,1,ffffffff
5044, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,2,ffffffff
5045, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,1,ffffffff
5045, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,2,ffffffff
5045, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,7,ffffffff
5046, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,6,ffffffff
5046, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,3,ffffffff
5047, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,6,ffffffff
5047, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,3,ffffffff
5047, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,4,ffffffff
5048, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,4,ffffffff
5049, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,0,ffffffff
5049, PC=0x038 (lstm.1.sm_75.ptx:49) ld.global.f64 %fd52 [%rd5],10,10,5,ffffffff
5050, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,5,ffffffff
5050, PC=0x040 (lstm.1.sm_75.ptx:50) cvta.to.global.u64 %rd46 %rd40,10,10,0,ffffffff
5051, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,2,ffffffff
5051, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,7,ffffffff
5051, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,1,ffffffff
5053, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,6,ffffffff
5053, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,3,ffffffff
5054, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,4,ffffffff
5056, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,0,ffffffff
5056, PC=0x048 (lstm.1.sm_75.ptx:51) add.s64 %rd6 %rd46 %rd45,10,10,5,ffffffff
5060, PC=0x050 (lstm.1.sm_75.ptx:52) ld.global.f64 %fd53 [%rd6],10,10,7,ffffffff
5060, PC=0x050 (lstm.1.sm_75.ptx:52) ld.global.f64 %fd53 [%rd6],10,10,1,ffffffff
