Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11080000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.141103
11081000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.013674
11082000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11083000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11084000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11085000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11086000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.975700
11087000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.230126
11088000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.954014
11089000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11090000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.951665
11091000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11092000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11093000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.034552
11094000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.112183
11095000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.972820
11096000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.946410
11097000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.089885
11098000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.959709
11099000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921286
11100000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.090477
11101000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.378441
11102000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921448
11103000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11104000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11105000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11106000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.130068
11107000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.931438
11108000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.942441
11109000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.931245
11110000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.936214
11111000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.941979
11112000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.048336
11113000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.929472
11114000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921385
11115000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920573
11116000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.034703
11117000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.961222
11118000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921068
11119000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.011043
11120000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.989594
11121000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.919698
11122000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.954926
11123000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11124000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11125000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.060122
11126000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.961688
11127000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.961886
11128000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920278
11129000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.950099
11130000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11131000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11132000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921188
11133000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11134000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.923809
11135000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.114654
11136000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11137000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11138000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.134118
11139000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.009920
11140000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.959588
11141000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921840
11142000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11143000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11144000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.957483
11145000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920573
11146000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.103882
11147000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11148000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.114054
11149000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11150000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11151000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.348936
11152000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.060612
11153000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.957969
11154000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.941554
11155000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.929863
11156000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11157000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.952878
11158000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11159000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.978236
11160000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.113313
