Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11080000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785796
11081000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806354
11082000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11083000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11084000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11085000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11086000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11087000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11088000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11089000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11090000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11091000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11092000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11093000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11094000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11095000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11096000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11097000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786051
11098000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.799792
11099000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11100000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11101000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11102000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11103000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
11104000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785374
11105000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800469
11106000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11107000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790633
11108000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785389
11109000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11110000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805924
11111000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784055
11112000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11113000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11114000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789236
11115000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786786
11116000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11117000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804279
11118000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785701
11119000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11120000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11121000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787316
11122000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.788706
11123000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11124000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
11125000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11126000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11127000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11128000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786431
11129000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11130000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11131000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
11132000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11133000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
11134000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11135000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11136000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11137000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11138000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802975
11139000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786277
11140000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803768
11141000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11142000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
11143000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789706
11144000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11145000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802334
11146000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785876
11147000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804810
11148000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11149000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784488
11150000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792114
11151000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11152000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801558
11153000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.782811
11154000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808050
11155000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808374
11156000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785304
11157000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11158000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11159000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798825
11160000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785544
11161000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11162000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11163000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11164000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11165000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
