Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
24076000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029198
24077000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24078000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
24079000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021130
24080000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037671
24081000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
24082000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020149
24083000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030179
24084000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24085000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
24086000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020063
24087000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24088000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036956
24089000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020951
24090000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030179
24091000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24092000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024721
24093000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021090
24094000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24095000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036676
24096000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24097000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030179
24098000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24099000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024666
24100000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021144
24101000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24102000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036676
24103000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24104000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030179
24105000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24106000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024666
24107000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021144
24108000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24109000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036676
24110000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020014
24111000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.031395
24112000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24113000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024666
24114000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021144
24115000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24116000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.035459
24117000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020761
24118000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.031865
24119000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24120000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023450
24121000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022361
24122000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24123000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.034990
24124000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019481
24125000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033615
24126000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24127000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022981
24128000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022830
24129000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24130000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033240
24131000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24132000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033615
24133000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24134000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24135000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024580
24136000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24137000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033240
24138000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24139000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033615
24140000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24141000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24142000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024580
24143000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24144000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033240
24145000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020689
24146000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.034156
24147000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24148000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24149000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024580
24150000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24151000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033233
24152000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019931
24153000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.034921
24154000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24155000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020648
24156000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025163
24157000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24158000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.032175
24159000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.018520
24160000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037391
24161000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038638
24162000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020250
24163000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24164000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24165000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.031006
24166000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019408
24167000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24168000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24169000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24170000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24171000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24172000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24173000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24174000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24175000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24176000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24177000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24178000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24179000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24180000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24181000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24182000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24183000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020014
24184000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026878
24185000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24186000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24187000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020014
24188000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037804
24189000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038314
24190000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019970
24191000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027348
24192000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24193000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028224
24194000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020504
24195000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24196000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037874
