Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
78000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.526201
79000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.729732
80000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.111287
81000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.303570
82000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.361916
83000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.322917
84000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.936503
85000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.390676
86000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.511711
87000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.301539
88000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.750882
89000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.269529
90000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.005372
91000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.954618
92000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.986892
93000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.737722
94000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.920471
95000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.695545
96000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.885383
97000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.834696
98000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.880894
99000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.000152
100000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.392290
101000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.819026
102000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.307871
103000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.980908
104000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.200430
105000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.122411
106000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.202796
107000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.086454
108000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.913395
109000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.397733
110000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.043378
111000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.041112
112000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.368216
113000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.310105
114000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.056004
115000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.261972
116000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.155471
117000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.972746
118000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.947419
119000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,2.153885
120000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.984329
121000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.850634
