Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
24076000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.058001
24077000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.084285
24078000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098371
24079000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075915
24080000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078807
24081000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045041
24082000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026085
24083000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.131013
24084000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.126019
24085000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.039834
24086000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082132
24087000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.065937
24088000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.113675
24089000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.101361
24090000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.072036
24091000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.092811
24092000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.040771
24093000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.095136
24094000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.127009
24095000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028228
24096000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.050390
24097000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104009
24098000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082317
24099000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048161
24100000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.118511
24101000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098798
24102000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.069614
24103000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.212130
24104000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.159115
24105000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.042662
24106000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075569
24107000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.083984
24108000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.049545
24109000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.067535
24110000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078292
24111000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.160964
24112000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.059330
24113000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.153613
24114000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.044926
24115000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.093067
24116000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110891
24117000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.132842
24118000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.066441
24119000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.051393
24120000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023317
24121000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.057528
24122000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.146702
24123000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.074938
24124000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.092939
24125000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.100676
24126000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.070108
24127000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.054740
24128000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.090955
24129000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.195056
24130000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.079111
24131000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.016142
24132000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.068795
24133000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.065765
24134000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.115858
24135000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.064664
24136000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.088991
24137000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.101208
24138000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045833
24139000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.135978
24140000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110998
24141000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.058034
24142000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.091663
24143000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.046123
24144000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023400
24145000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026526
24146000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.084816
24147000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110673
24148000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.113996
24149000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.145028
24150000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.049059
24151000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.049045
24152000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.086568
24153000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.063562
24154000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082431
24155000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.134971
24156000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.101375
24157000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029326
24158000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.015507
24159000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.149861
24160000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.091445
24161000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.070093
24162000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.077751
24163000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.061044
24164000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.065603
24165000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.060791
24166000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.073995
24167000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048446
24168000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.091249
24169000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036946
24170000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.051506
24171000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.044226
24172000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.062730
24173000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.129311
24174000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.063411
24175000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.106027
24176000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048833
24177000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.061354
24178000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025532
24179000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.214377
24180000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.126783
24181000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.169845
24182000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.128443
24183000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.014386
24184000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025395
24185000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.060383
24186000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.157261
24187000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048149
24188000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.145854
24189000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.056953
24190000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.089450
24191000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045006
24192000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111660
24193000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.068255
24194000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.103405
24195000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.093370
24196000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025663
24197000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.036283
24198000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.061017
24199000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.094107
24200000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.121419
24201000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075547
24202000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.077809
24203000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.080737
24204000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.064768
24205000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038059
24206000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082477
24207000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.108832
24208000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.074547
24209000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025599
24210000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045638
24211000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.050880
24212000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.080569
24213000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.205138
24214000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.150498
24215000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.049740
24216000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048480
24217000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078546
24218000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.067383
24219000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.149363
24220000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.074011
24221000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.095100
24222000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038686
24223000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.093423
24224000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.044434
24225000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.122953
24226000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078138
24227000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.065797
24228000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.063166
24229000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022602
24230000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.072409
24231000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.124182
24232000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098829
24233000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.091191
24234000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.041016
24235000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.068096
24236000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.041723
24237000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022340
24238000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.115163
24239000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.167008
24240000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.058052
