kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
GRU_L2_100_K1.1.sm_75.ptx 79 : 1638400 3344199616 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 78 : 1638400 14164677280 60608 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 77 : 1638400 2725603776 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 76 : 1638400 12634311680 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 75 : 1638400 15679926528 101888 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 74 : 1638400 3340979232 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 73 : 1638400 14920798144 60640 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 72 : 1638400 2898269504 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 71 : 1638400 15068698624 96 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 70 : 1638400 16143004288 293152 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 67 : 65536 294213856 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 50 : 65536 457472 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 177 : 1638400 50482016 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 49 : 65536 695552 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 176 : 1638400 83134496 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 48 : 65536 876544 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 175 : 1638400 227376736 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 47 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 174 : 1638400 1859869056 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 46 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 173 : 1638400 2062409152 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 45 : 65536 851968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 172 : 1638400 10395255584 96 0 0 1638400 51200 0 0 
