kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
LSTM_L2_50_100.1.sm_75.ptx 738 : 64 256 0 0 0 64 64 0 0 
LSTM_L2_50_100.1.sm_75.ptx 715 : 64 320 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 713 : 64 15298 0 0 0 64 64 0 0 
LSTM_L2_50_100.1.sm_75.ptx 709 : 64 192 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 642 : 32768 570336 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 641 : 32768 4658144 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 640 : 32768 4624672 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 639 : 32768 668064 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 638 : 32768 4638944 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 637 : 32768 667936 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 636 : 32768 4680096 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 609 : 32768 267936 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 601 : 32768 5527232 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 600 : 32768 8405600 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 595 : 32768 0 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 581 : 32768 1229 0 0 0 0 0 0 128 
LSTM_L2_50_100.1.sm_75.ptx 580 : 32768 303968 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 579 : 32768 291136 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 577 : 32768 0 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 576 : 32768 311776 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 575 : 32768 611520 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 574 : 32768 6279296 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 573 : 32768 9037024 0 0 0 8192 1024 0 0 
LSTM_L2_50_100.1.sm_75.ptx 572 : 32768 6114496 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 571 : 32768 9210688 0 0 0 8192 1024 0 0 
LSTM_L2_50_100.1.sm_75.ptx 570 : 32768 616832 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 569 : 32768 430144 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 568 : 32768 217888 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 567 : 32768 614432 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 566 : 32768 492704 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 565 : 32768 255872 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 564 : 32768 695392 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 563 : 32768 834880 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 560 : 32640 6451025 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 558 : 32768 1016 0 0 0 0 0 0 128 
LSTM_L2_50_100.1.sm_75.ptx 557 : 32768 379456 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 556 : 32768 302976 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 554 : 32768 0 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 553 : 32768 564288 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 552 : 32768 355360 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 551 : 32768 719904 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 550 : 32768 6087168 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 549 : 32768 9520480 0 0 0 8192 1024 0 0 
LSTM_L2_50_100.1.sm_75.ptx 548 : 32768 6077664 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 547 : 32768 8505504 0 0 0 8192 1024 0 0 
LSTM_L2_50_100.1.sm_75.ptx 546 : 32768 573312 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 545 : 32768 443936 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 544 : 32768 212160 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 543 : 32768 569184 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 542 : 32768 409952 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 541 : 32768 230784 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 540 : 32768 697856 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 539 : 32768 600096 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 477 : 32768 1140032 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 476 : 32768 5925504 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 475 : 32768 5809568 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 474 : 32768 1101056 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 473 : 32768 5657632 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 472 : 32768 1066976 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 471 : 32768 5605344 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 470 : 32768 1012896 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 469 : 32768 5537088 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 468 : 32768 836384 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 467 : 32768 5481536 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 466 : 32768 810464 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 465 : 32768 5418528 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 251 : 32768 873248 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 250 : 32768 5015840 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 249 : 32768 5047232 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 248 : 32768 1183328 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 247 : 32768 5078080 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 246 : 32768 1220320 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 245 : 32768 5186336 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 244 : 32768 1213760 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 243 : 32768 5246976 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 242 : 32768 1235776 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 241 : 32768 5240800 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 240 : 32768 1199584 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 239 : 32768 5441248 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 238 : 32768 1315008 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 237 : 32768 5395104 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 236 : 32768 1303904 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 235 : 32768 5584544 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 234 : 32768 1177856 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 233 : 32768 5691552 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 232 : 32768 1152032 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 231 : 32768 5671936 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 230 : 32768 1037760 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 229 : 32768 5679552 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 228 : 32768 748704 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 227 : 32768 1043328 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 226 : 32768 7084736 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 222 : 32768 1006848 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 736 : 64 192 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 195 : 32768 789120 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 452 : 32768 5069696 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 194 : 32768 7770944 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 734 : 1600 7680 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 193 : 32768 7665280 0 0 0 8184 1024 0 0 
LSTM_L2_50_100.1.sm_75.ptx 316 : 32768 666176 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 730 : 1600 14400 0 0 0 0 0 0 0 
LSTM_L2_50_100.1.sm_75.ptx 189 : 32768 5509504 0 0 0 0 0 0 0 
