Cycle,RunTimeDynamic(W)
18219000,0.000000
18220000,0.000000
18221000,0.000000
18222000,0.000000
18223000,0.000000
18224000,0.000000
18225000,0.000000
18226000,0.000000
18227000,0.000000
18228000,0.000000
18229000,0.000000
18230000,0.000000
18231000,0.000000
18232000,0.000000
18233000,0.000000
18234000,0.000000
18235000,0.000000
18236000,0.000000
18237000,0.000000
18238000,0.000000
18239000,0.000000
18240000,0.000000
18241000,0.000000
18242000,0.000000
18243000,0.000000
18244000,0.000000
18245000,0.000000
18246000,0.000000
18247000,0.000000
18248000,0.000000
18249000,0.000000
18250000,0.000000
18251000,0.000000
18252000,0.000000
18253000,0.000000
18254000,0.000000
18255000,0.000000
18256000,0.000000
18257000,0.000000
18258000,0.000000
18259000,0.000000
18260000,0.000000
18261000,0.000000
18262000,0.000000
18263000,0.000000
18264000,0.000000
18265000,0.000000
18266000,0.000000
18267000,0.000000
18268000,0.000000
18269000,0.000000
18270000,0.000000
18271000,0.000000
18272000,0.000000
18273000,0.000000
18274000,0.000000
18275000,0.000000
18276000,0.000000
18277000,0.000000
18278000,0.000000
18279000,0.000000
18280000,0.000000
18281000,0.000000
18282000,0.000000
18283000,0.000000
18284000,0.000000
18285000,0.000000
18286000,0.000000
18287000,0.000000
18288000,0.000000
18289000,0.000000
18290000,0.000000
18291000,0.000000
18292000,0.000000
18293000,0.000000
18294000,0.000000
18295000,0.000000
18296000,0.000000
18297000,0.000000
18298000,0.000000
18299000,0.000000
18300000,0.000000
18301000,0.000000
18302000,0.000000
18303000,0.000000
18304000,0.000000
18305000,0.000000
18306000,0.000000
18307000,0.000000
18308000,0.000000
18309000,0.000000
18310000,0.000000
18311000,0.000000
18312000,0.000000
18313000,0.000000
18314000,0.000000
18315000,0.000000
18316000,0.000000
18317000,0.000000
18318000,0.000000
18319000,0.000000
18320000,0.000000
18321000,0.000000
18322000,0.000000
18323000,0.000000
18324000,0.000000
18325000,0.000000
18326000,0.000000
18327000,0.000000
18328000,0.000000
18329000,0.000000
18330000,0.000000
18331000,0.000000
18332000,0.000000
18333000,0.000000
18334000,0.000000
18335000,0.000000
18336000,0.000000
18337000,0.000000
18338000,0.000000
18339000,0.000000
18340000,0.000000
18341000,0.000000
18342000,0.000000
18343000,0.000000
18344000,0.000000
18345000,0.000000
18346000,0.000000
18347000,0.000000
18348000,0.000000
18349000,0.000000
18350000,0.000000
18351000,0.000000
18352000,0.000000
18353000,0.000000
18354000,0.000000
18355000,0.000000
18356000,0.000000
18357000,0.000000
18358000,0.000000
18359000,0.000000
18360000,0.000000
18361000,0.000000
18362000,0.000000
18363000,0.000000
18364000,0.000000
18365000,0.000000
18366000,0.000000
18367000,0.000000
18368000,0.000000
18369000,0.000000
18370000,0.000000
18371000,0.000000
18372000,0.000000
18373000,0.000000
18374000,0.000000
18375000,0.000000
18376000,0.000000
18377000,0.000000
18378000,0.000000
18379000,0.000000
18380000,0.000000
18381000,0.000000
18382000,0.000000
18383000,0.000000
18384000,0.000000
18385000,0.000000
18386000,0.000000
18387000,0.000000
18388000,0.000000
18389000,0.000000
18390000,0.000000
18391000,0.000000
18392000,0.000000
18393000,0.000000
18394000,0.000000
18395000,0.000000
18396000,0.000000
18397000,0.000000
18398000,0.000000
18399000,0.000000
18400000,0.000000
18401000,0.000000
18402000,0.000000
18403000,0.000000
18404000,0.000000
18405000,0.000000
18406000,0.000000
18407000,0.000000
18408000,0.000000
18409000,0.000000
18410000,0.000000
18411000,0.000000
18412000,0.000000
18413000,0.000000
18414000,0.000000
18415000,0.000000
18416000,0.000000
18417000,0.000000
18418000,0.000000
18419000,0.000000
18420000,0.000000
18421000,0.000000
18422000,0.000000
18423000,0.000000
18424000,0.000000
18425000,0.000000
18426000,0.000000
18427000,0.000000
18428000,0.000000
18429000,0.000000
18430000,0.000000
18431000,0.000000
18432000,0.000000
18433000,0.000000
18434000,0.000000
18435000,0.000000
18436000,0.000000
18437000,0.000000
18438000,0.000000
18439000,0.000000
18440000,0.000000
18441000,0.000000
18442000,0.000000
18443000,0.000000
18444000,0.000000
18445000,0.000000
18446000,0.000000
18447000,0.000000
18448000,0.000000
18449000,0.000000
18450000,0.000000
18451000,0.000000
18452000,0.000000
18453000,0.000000
18454000,0.000000
18455000,0.000000
18456000,0.000000
18457000,0.000000
18458000,0.000000
18459000,0.000000
18460000,0.000000
18461000,0.000000
18462000,0.000000
18463000,0.000000
18464000,0.000000
18465000,0.000000
18466000,0.000000
18467000,0.000000
18468000,0.000000
18469000,0.000000
18470000,0.000000
18471000,0.000000
18472000,0.000000
18473000,0.000000
18474000,0.000000
18475000,0.000000
18476000,0.000000
18477000,0.000000
18478000,0.000000
18479000,0.000000
18480000,0.000000
18481000,0.000000
18482000,0.000000
18483000,0.000000
18484000,0.000000
18485000,0.000000
18486000,0.000000
18487000,0.000000
18488000,0.000000
18489000,0.000000
18490000,0.000000
18491000,0.000000
18492000,0.000000
18493000,0.000000
18494000,0.000000
18495000,0.000000
18496000,0.000000
18497000,0.000000
18498000,0.000000
18499000,0.000000
18500000,0.000000
18501000,0.000000
18502000,0.000000
18503000,0.000000
18504000,0.000000
18505000,0.000000
18506000,0.000000
18507000,0.000000
18508000,0.000000
18509000,0.000000
18510000,0.000000
18511000,0.000000
18512000,0.000000
18513000,0.000000
18514000,0.000000
18515000,0.000000
18516000,0.000000
18517000,0.000000
18518000,0.000000
18519000,0.000000
18520000,0.000000
18521000,0.000000
18522000,0.000000
18523000,0.000000
18524000,0.000000
18525000,0.000000
18526000,0.000000
18527000,0.000000
18528000,0.000000
18529000,0.000000
18530000,0.000000
18531000,0.000000
18532000,0.000000
18533000,0.000000
18534000,0.000000
18535000,0.000000
18536000,0.000000
18537000,0.000000
18538000,0.000000
18539000,0.000000
18540000,0.000000
18541000,0.000000
18542000,0.000000
18543000,0.000000
18544000,0.000000
18545000,0.000000
18546000,0.000000
18547000,0.000000
18548000,0.000000
18549000,0.000000
18550000,0.000000
18551000,0.000000
18552000,0.000000
18553000,0.000000
18554000,0.000000
18555000,0.000000
18556000,0.000000
18557000,0.000000
18558000,0.000000
18559000,0.000000
18560000,0.000000
18561000,0.000000
18562000,0.000000
18563000,0.000000
18564000,0.000000
18565000,0.000000
18566000,0.000000
18567000,0.000000
18568000,0.000000
18569000,0.000000
18570000,0.000000
18571000,0.000000
18572000,0.000000
18573000,0.000000
18574000,0.000000
18575000,0.000000
18576000,0.000000
18577000,0.000000
18578000,0.000000
18579000,0.000000
18580000,0.000000
18581000,0.000000
18582000,0.000000
18583000,0.000000
18584000,0.000000
18585000,0.000000
18586000,0.000000
18587000,0.000000
18588000,0.000000
18589000,0.000000
18590000,0.000000
18591000,0.000000
18592000,0.000000
18593000,0.000000
18594000,0.000000
18595000,0.000000
18596000,0.000000
18597000,0.000000
18598000,0.000000
18599000,0.000000
18600000,0.000000
18601000,0.000000
18602000,0.000000
18603000,0.000000
18604000,0.000000
18605000,0.000000
18606000,0.000000
18607000,0.000000
18608000,0.000000
18609000,0.000000
18610000,0.000000
18611000,0.000000
18612000,0.000000
18613000,0.000000
18614000,0.000000
18615000,0.000000
18616000,0.000000
18617000,0.000000
